date,reg_rider,reg_driver,rider_to_driver_ratio
2024-08-23,523,140,3.7357142857142858
2024-08-24,672,133,5.052631578947368
2024-08-25,949,35,27.114285714285714
2024-08-26,1347,138,9.76086956521739
2024-08-27,641,130,4.930769230769231
2024-08-28,470,107,4.392523364485982
2024-08-29,555,98,5.663265306122449
2024-08-30,479,109,4.394495412844036
2024-08-31,915,80,11.4375
2024-09-01,677,21,32.23809523809524
2024-09-02,434,113,3.84070796460177
2024-09-03,900,116,7.758620689655173
2024-09-04,688,94,7.319148936170213
2024-09-05,687,88,7.806818181818182
2024-09-06,711,60,11.85
2024-09-07,352,37,9.513513513513514
2024-09-08,441,46,9.58695652173913
2024-09-09,477,99,4.818181818181818
2024-09-10,392,99,3.95959595959596
2024-09-11,377,113,3.336283185840708
2024-09-12,416,105,3.961904761904762
2024-09-13,425,48,8.854166666666666
2024-09-14,458,70,6.542857142857143
2024-09-15,402,28,14.357142857142858
2024-09-16,377,97,3.88659793814433
2024-09-17,319,69,4.6231884057971016
2024-09-18,407,50,8.14
2024-09-19,353,115,3.0695652173913044
2024-09-20,357,94,3.797872340425532
2024-09-21,446,80,5.575
2024-09-22,311,35,8.885714285714286
2024-09-23,400,70,5.714285714285714
2024-09-24,336,101,3.3267326732673266
2024-09-25,314,112,2.8035714285714284
2024-09-26,332,158,2.1012658227848102
2024-09-27,310,172,1.802325581395349
2024-09-28,914,170,5.376470588235295
2024-09-29,1116,75,14.88
2024-09-30,743,270,2.751851851851852
2024-10-01,953,298,3.197986577181208
2024-10-02,919,198,4.641414141414141
2024-10-03,762,210,3.6285714285714286
2024-10-04,469,220,2.131818181818182
2024-10-05,603,318,1.8962264150943395
2024-10-06,742,146,5.082191780821918
2024-10-07,1175,257,4.571984435797665
2024-10-08,756,280,2.7
2024-10-09,536,227,2.3612334801762116
2024-10-10,428,155,2.761290322580645
2024-10-11,537,163,3.294478527607362
2024-10-12,580,57,10.175438596491228
2024-10-13,720,66,10.909090909090908
2024-10-14,817,112,7.294642857142857
2024-10-15,630,141,4.468085106382978
2024-10-16,617,248,2.4879032258064515
2024-10-17,509,186,2.736559139784946
2024-10-18,422,145,2.910344827586207
2024-10-19,763,134,5.6940298507462686
2024-10-20,636,58,10.96551724137931
2024-10-21,547,121,4.520661157024794
2024-10-22,453,136,3.3308823529411766
2024-10-23,425,131,3.2442748091603053
2024-10-24,363,163,2.226993865030675
2024-10-25,516,165,3.1272727272727274
2024-10-26,543,148,3.668918918918919
2024-10-27,622,57,10.912280701754385
2024-10-28,658,98,6.714285714285714
2024-10-29,553,302,1.8311258278145695
2024-10-30,451,452,0.9977876106194691
2024-10-31,344,54,6.37037037037037
2024-11-01,410,39,10.512820512820513
2024-11-02,431,73,5.904109589041096
2024-11-03,493,84,5.869047619047619
2024-11-04,564,233,2.4206008583690988
2024-11-05,351,359,0.9777158774373259
2024-11-06,358,440,0.8136363636363636
2024-11-07,338,333,1.015015015015015
2024-11-08,493,361,1.365650969529086
2024-11-09,477,128,3.7265625
2024-11-10,503,58,8.672413793103448
2024-11-11,457,300,1.5233333333333334
2024-11-12,427,271,1.5756457564575646
2024-11-13,501,179,2.798882681564246
2024-11-14,469,197,2.3807106598984773
2024-11-15,877,295,2.9728813559322034
2024-11-16,1150,182,6.318681318681318
2024-11-17,1007,84,11.988095238095237
2024-11-18,689,187,3.6844919786096257
2024-11-19,1271,227,5.599118942731278
2024-11-20,1389,222,6.256756756756757
2024-11-21,1311,164,7.9939024390243905
2024-11-22,572,162,3.5308641975308643
2024-11-23,545,180,3.0277777777777777
2024-11-24,857,66,12.984848484848484
2024-11-25,1209,144,8.395833333333334
2024-11-26,1173,111,10.567567567567568
2024-11-27,959,190,5.0473684210526315
2024-11-28,478,188,2.5425531914893615
2024-11-29,505,151,3.3443708609271523
2024-11-30,576,172,3.3488372093023258
2024-12-01,492,63,7.809523809523809
2024-12-02,550,177,3.1073446327683616
2024-12-03,524,198,2.6464646464646466
2024-12-04,505,169,2.9881656804733727
2024-12-05,502,108,4.648148148148148
2024-12-06,481,105,4.580952380952381
2024-12-07,575,128,4.4921875
2024-12-08,560,49,11.428571428571429
2024-12-09,547,125,4.376
2024-12-10,434,52,8.346153846153847
